e113;e113;e113;e113;e114;e114;e114;s;s;s;;;
e113;e113;e113;e113;e114;e114;e114;s;s;s;;;
e113;e113;e113;e113;e114;e114;e114;k;k;k;;;
e113;e113;e113;e113;e110;e110;e110;k;k;k;;;
e113;e113;e113;e113;e110;e110;e110;k;k;k;;;
e112;e112;e112;e112;e110;e110;e110;e109;e109;e109;e107;e107;e107
e112;e112;e112;e112;e110;e110;e110;e109;e109;e109;e107;e107;e107
e112;e112;e112;e112;e110;e110;e110;e109;e109;e109;e107;e107;e107
e112;e112;e112;e112;e110;e110;e110;e109;e109;e109;e108;e108;e108
e111;e111;e111;e111;e110;e110;e110;e109;e109;e109;e108;e108;e108
e111;e111;e111;e111;e110;e110;e110;e109;e109;e109;e108;e108;e108
e111;e111;e111;e111;e110;e110;e110;e109;e109;e109;e108;e108;e108
